Rebounds,Assists,Turnovers,Steals,Blocks,PersonalFouls,Points,Position,GenPosition
 Hamed Haddadi,2.2 ,0.2 ,0.4 ,0.1 ,0.4 ,0.9 ,2.4 ,Center,Center
 Hasheem Thabeet,1.6 ,0.1 ,0.4 ,0.2 ,0.3 ,1.6 ,1.1 ,Center,Center
 Hassan Whiteside,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,2.0 ,0.0 ,Center,Center
 Hedo Turkoglu,4.4 ,4.2 ,1.6 ,0.9 ,0.4 ,3.0 ,10.8 ,Forward,Forward
 Henry Walker,2.0 ,0.6 ,0.6 ,0.3 ,0.1 ,1.3 ,4.9 ,Guard Forward,Guard
 Hilton Armstrong,2.5 ,0.3 ,0.5 ,0.3 ,0.4 ,1.6 ,1.7 ,Forward Center,Forward
 Ian Mahinmi,2.1 ,0.1 ,0.4 ,0.3 ,0.3 ,1.9 ,3.1 ,Center,Center
 Ike Diogu,3.2 ,0.1 ,0.6 ,0.1 ,0.1 ,2.0 ,5.8 ,Forward Center,Forward
 Ime Udoka,1.0 ,0.7 ,0.3 ,0.4 ,0.1 ,0.7 ,0.7 ,Guard Forward,Guard
 J.J. Barea,2.0 ,3.9 ,1.7 ,0.4 ,0.0 ,1.7 ,9.5 ,Guard,Guard
 J.J. Hickson,8.7 ,1.1 ,2.2 ,0.6 ,0.7 ,2.7 ,13.8 ,Forward Center,Forward
 J.J. Redick,1.9 ,1.7 ,0.9 ,0.5 ,0.1 ,1.4 ,10.1 ,Shooting Guard,Guard
 J.R. Smith,4.1 ,2.2 ,1.3 ,1.2 ,0.2 ,2.2 ,12.3 ,Guard Forward,Guard
 Jamaal Magloire,3.4 ,0.2 ,0.3 ,0.2 ,0.1 ,1.4 ,1.9 ,Center,Center
 Jamal Crawford,1.7 ,3.2 ,1.9 ,0.8 ,0.2 ,1.3 ,14.2 ,Guard Forward,Guard
 Jamario Moon,2.8 ,0.9 ,0.4 ,0.5 ,0.6 ,1.1 ,4.3 ,Small Forward,Forward
 Jameer Nelson,3.0 ,6.0 ,2.6 ,1.0 ,0.0 ,2.8 ,13.1 ,Point Guard,Guard
 James Anderson,0.9 ,0.7 ,0.5 ,0.1 ,0.2 ,0.9 ,3.6 ,Guard Forward,Guard
 James Harden,3.1 ,2.1 ,1.3 ,1.1 ,0.3 ,2.5 ,12.2 ,Guard,Guard
 James Johnson,3.7 ,2.3 ,1.7 ,0.9 ,1.0 ,2.5 ,7.1 ,Forward,Forward
 James Jones,2.0 ,0.5 ,0.3 ,0.4 ,0.2 ,1.6 ,5.9 ,Guard Forward,Guard
