Rebounds,Assisst,Turnovers,Steals,Blocks,Personal Fouls,Points,Position,General Position
DeJuan Blair,2,0.4,0.5,0.3,0.1,1.8,2.1,Forward Center,Foward
DeMarcus Cousins,11.5,3.3,3.8,1.6,1.4,3.6,26.9,Forward Center,Foward
Derrick Favors,8.1,1.5,1.7,1.2,1.5,2.4,16.4,Forward Center,Foward
Dirk Nowitzki,6.5,1.8,1.1,0.7,0.7,2.1,18.3,Forward Center,Foward
Drew Gooden,2.8,0.4,0.4,0.3,0.4,1.3,2.7,Forward Center,Foward
Dwight Howard,11.8,1.4,2.3,1,1.6,3.1,13.7,Forward Center,Foward
Dwight Powell,4,0.6,0.6,0.5,0.3,1.7,5.8,Forward Center,Foward
Ed Davis,7.4,1.1,0.8,0.7,0.9,2.5,6.5,Forward Center,Foward
Elton Brand,3.7,1.1,0.6,0.5,0.5,1.9,4.1,Forward Center,Foward
Frank Kaminsky,4.1,1.2,0.7,0.5,0.5,1.6,7.5,Forward Center,Foward
Gorgui Dieng,7.1,1.7,1.7,1.1,1.2,2.7,10.1,Forward Center,Foward
Greg Monroe,8.8,2.3,1.6,0.9,0.8,2.1,15.3,Forward Center,Foward
Greg Smith,2.3,0.3,0.4,0.2,0.1,1.6,2.4,Forward Center,Foward
J.J. Hickson,3.8,0.7,0.7,0.4,0.4,1.3,5.9,Forward Center,Foward
Jared Sullinger,8.3,2.3,1.3,0.9,0.6,2.6,10.3,Forward Center,Foward
Jarell Martin,3.2,0.6,0.7,0.3,0.3,2.1,5.7,Forward Center,Foward
Jason Smith,2.9,0.8,0.8,0.4,0.9,2.1,7.2,Forward Center,Foward
Jason Thompson,2.9,0.6,0.3,0.3,0.4,1.7,3.1,Forward Center,Foward
Jeff Ayres,1.3,0.3,0.4,0,0.2,1.1,1.8,Forward Center,Foward
Joakim Noah,8.8,3.8,1.8,0.6,1,2.7,4.3,Forward Center,Foward
Joel Anthony,1.1,0.1,0.1,0.1,0.6,0.8,0.9,Forward Center,Foward
Joffrey Lauvergne,4.9,0.9,0.9,0.2,0.3,1.9,7.9,Forward Center,Foward
John Henson,3.9,0.9,1.1,0.3,1.9,2.3,7,Forward Center,Foward
Jon Leuer,5.6,1.1,1.1,0.6,0.4,1.9,8.5,Forward Center,Foward
Jordan Hill,6.2,1.2,1.3,0.5,0.5,2.1,8.8,Forward Center,Foward
Josh McRoberts,2.5,1.9,0.7,0.4,0.2,1.6,3.6,Forward Center,Foward
Kenneth Faried,8.7,1.2,1.4,0.5,0.9,2.5,12.5,Forward Center,Foward
Kevin Garnett,3.9,1.6,0.4,0.7,0.3,1.8,3.2,Forward Center,Foward
Kevin Love,9.9,2.4,1.8,0.8,0.5,2.1,16,Forward Center,Foward
Kevin Seraphin,2.6,1,0.9,0.2,0.8,1.4,3.9,Forward Center,Foward
Kosta Koufos,5.4,0.4,0.6,0.5,0.9,2.4,6.8,Forward Center,Foward
Kris Humphries,4.1,0.7,0.7,0.3,0.4,1.8,6.5,Forward Center,Foward
Kristaps Porzingis,7.3,1.3,1.7,0.7,1.9,2.8,14.3,Forward Center,Foward
Kyle O'Quinn,3.8,1.1,0.9,0.3,0.8,1.6,4.8,Forward Center,Foward
LaMarcus Aldridge,8.5,1.5,1.3,0.5,1.1,2,18,Forward Center,Foward
Lavoy Allen,5.4,1,0.9,0.3,0.5,1.9,5.4,Forward Center,Foward
Luis Scola,4.7,0.9,0.9,0.6,0.4,2.3,8.7,Forward Center,Foward
Marreese Speights,3.3,0.8,0.9,0.3,0.5,1.6,7.1,Forward Center,Foward
Mason Plumlee,7.7,2.8,1.9,0.8,1,3.1,9.1,Forward Center,Foward
Matt Bonner,0.9,0.3,0.1,0.2,0,0.5,2.5,Forward Center,Foward
Meyers Leonard,5.1,1.5,1.3,0.1,0.3,3,8.4,Forward Center,Foward
Mike Muscala,2,0.6,0.5,0.2,0.5,1.2,3.3,Forward Center,Foward
Miles Plumlee,3.8,0.3,0.7,0.3,0.8,1.2,5.1,Forward Center,Foward
Mitch McGary,0.9,0.2,0.4,0.1,0.1,0.5,1.3,Forward Center,Foward
Myles Turner,5.5,0.7,1.1,0.4,1.4,2.6,10.3,Forward Center,Foward
Nene Hilario,4.5,1.7,1.3,0.9,0.5,2.7,9.2,Forward Center,Foward
Nerlens Noel,8.1,1.8,2.4,1.8,1.5,2.9,11.1,Forward Center,Foward
Nick Collison,2.9,0.9,0.8,0.3,0.3,1.8,2.1,Forward Center,Foward
Nikola Jokic,7,2.4,1.3,1,0.6,2.6,10,Forward Center,Foward
